SMILES,134_KAC,134_KAH,140_KAC,140_KAD,148_KAG,154_KAN,156_KAE,168_KAK,178_KAA,182_KAD,192_KAO,200_KAR,204_KAM,210_KAF,212_KAL,216_KAA,216_KAN,220_KAH,222_KAV,22_KAI,22_KAJ,260_KAF,268_KAL,284_KAJ,286_KAM,290_KBA,296_KAW,304_KAQ,310_KAQ,314_KAF,322_KAK,340_KAH,342_KAI,34_KAS,56_KAS,58_KAF,72_KAI,80_KAD,8_KAI,92_KAM,104_KAF
CC(C)C(NC(=O)C(=O)Nc1ccccc1Cl)C(=O)NC(CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,-7.7,-6.5,-5.7,-6.6,-8.6,-5.2,-6.5,-6.9,-6.1,-8.0,-8.3,-6.3,-6.0,-7.8,-6.8,-6.5,-7.3,-6.3,-6.2,-7.9,-7.2,-7.7,-7.7,-5.9,-6.4,-7.5,-8.0,-7.3,-7.6,-5.8,-6.3,-5.9,-5.4,-5.5,-7.6,-7.6,-7.2,-6.3,-7.4,-5.6,-6.2
O=C1N(CCN2CCCCCC2)CCN1c1ccncc1,-5.7,-8.6,-7.1,-5.4,-6.6,-6.3,-6.0,-5.5,-6.0,-6.9,-7.5,-7.5,-4.6,-6.5,-5.7,-8.4,-6.3,-5.5,-5.9,-6.3,-5.9,-5.4,-6.2,-5.0,-5.4,-6.3,-7.0,-6.3,-6.7,-7.3,-5.2,-5.6,-5.9,-6.7,-5.9,-6.4,-5.8,-5.4,-6.0,-7.0,-8.5
CC1(C)C=Cc2c(ccc3c2OC(c2ccccc2)CC3=O)O1,-7.8,-6.4,-5.2,-7.1,-9.0,-5.4,-7.1,-6.9,-7.7,-8.5,-9.9,-4.9,-5.9,-9.9,-7.5,-7.3,-7.3,-6.9,-7.6,-8.2,-8.0,-7.5,-7.8,-6.5,-7.2,-8.1,-9.1,-7.9,-7.9,-6.2,-6.6,-7.4,-6.5,-6.2,-7.6,-8.0,-7.8,-6.4,-7.4,-5.7,-6.2
O=C1ON=C2C3CC4CC12CC1(C3)C(=O)ON=C41,-5.5,-6.8,-5.6,-5.5,-7.3,-5.7,-6.0,-5.5,-7.3,-7.2,-7.0,-5.8,-4.9,-7.3,-5.5,-6.8,-5.9,-5.3,-5.7,-5.8,-6.5,-6.1,-6.1,-5.4,-5.6,-7.4,-7.1,-6.6,-6.5,-6.1,-5.6,-5.5,-6.3,-5.6,-6.9,-6.8,-6.1,-5.2,-6.0,-5.6,-6.4
CN(C(=O)c1cccn1C)C1CCC(NC(=O)OC(C)(C)C)CC1,-5.6,-8.6,-7.0,-5.2,-6.6,-5.7,-5.8,-5.6,-5.9,-6.8,-7.4,-5.7,-4.8,-7.4,-5.7,-8.7,-5.9,-5.4,-5.7,-6.0,-6.1,-5.9,-6.4,-5.3,-5.4,-6.3,-7.0,-5.9,-6.5,-6.0,-5.3,-5.9,-6.1,-5.2,-6.6,-6.1,-6.0,-5.5,-5.9,-7.4,-7.5
CCN(CC(O)Cn1c2ccccc2c2ccccc21)S(=O)(=O)c1ccc(F)cc1,-7.2,-6.5,-5.1,-7.0,-8.4,-5.3,-7.7,-6.0,-6.5,-6.8,-8.1,-5.9,-5.3,-8.6,-7.1,-6.8,-7.9,-5.9,-6.7,-7.4,-7.8,-6.8,-6.9,-5.5,-5.7,-7.6,-7.7,-7.2,-7.6,-5.3,-6.4,-6.5,-5.4,-5.0,-7.1,-7.0,-7.4,-5.6,-6.4,-5.2,-6.5
CN(C)c1nc2cc(Cl)c(Cl)cc2n1COC(CO)CO,-5.6,-6.2,-5.3,-5.1,-6.5,-5.3,-5.7,-5.6,-5.6,-6.1,-6.7,-5.8,-4.7,-6.4,-5.5,-7.5,-5.2,-5.6,-5.3,-5.6,-6.3,-5.7,-5.7,-5.2,-5.1,-6.5,-6.6,-6.1,-6.2,-5.3,-5.1,-5.5,-5.1,-6.1,-5.9,-6.2,-5.7,-5.0,-5.6,-5.0,-6.7
CC1CC(C)(C)Nc2ccc(N=O)cc21,-5.7,-6.8,-5.8,-5.2,-6.9,-5.4,-5.8,-4.9,-6.2,-6.0,-7.1,-6.6,-4.6,-6.5,-5.5,-6.9,-5.5,-4.9,-5.5,-5.9,-5.8,-5.5,-5.4,-4.7,-5.1,-5.9,-6.4,-6.0,-6.0,-6.5,-4.9,-5.3,-5.2,-5.5,-6.2,-5.8,-5.4,-4.7,-5.5,-5.8,-7.5
CC(NC1=NC(=O)C(C)(C(C)(C)O)S1)c1ccc(Cl)cc1,-6.1,-7.5,-6.2,-6.4,-7.9,-6.1,-5.8,-5.8,-6.4,-6.9,-7.7,-6.1,-4.9,-7.7,-5.7,-7.6,-6.1,-5.6,-6.2,-6.2,-6.5,-6.2,-6.3,-5.6,-5.8,-6.8,-7.3,-6.5,-7.0,-6.9,-5.7,-5.6,-5.8,-6.5,-6.3,-5.8,-6.4,-5.7,-6.2,-6.3,-7.8
CCN(CC)c1ccc(C=NNC(=O)c2cc(-c3ccc(C)c(C)c3)[nH]n2)c(O)c1,-8.0,-6.6,-5.7,-7.7,-7.8,-5.3,-7.7,-7.4,-6.5,-7.6,-9.2,-6.5,-6.5,-9.1,-7.3,-6.9,-7.8,-7.2,-7.0,-7.6,-7.5,-7.3,-6.9,-6.6,-6.8,-7.5,-8.7,-7.5,-8.1,-5.7,-6.7,-7.0,-7.5,-5.9,-7.1,-7.7,-7.0,-6.5,-8.3,-5.9,-5.0
COP1(=O)OCC2COC(=O)C2=C(C)O1,-4.9,-7.4,-5.9,-5.1,-5.8,-6.1,-4.8,-4.6,-5.1,-5.7,-6.0,-6.5,-4.0,-5.6,-4.9,-9.5,-4.8,-4.7,-4.8,-5.3,-5.2,-5.0,-4.9,-4.3,-4.4,-5.5,-6.0,-5.4,-5.6,-6.7,-4.4,-4.5,-5.0,-7.2,-5.4,-5.2,-4.8,-4.4,-4.8,-6.0,-6.9
COC1CCN(C(CN=C(O)c2cccc(Cl)c2Cl)c2cnc(C)nc2)CC1,-6.4,-6.8,-6.3,-5.9,-7.7,-5.5,-6.6,-6.0,-6.1,-7.0,-8.6,-5.7,-5.3,-7.1,-6.2,-7.8,-6.5,-5.8,-6.4,-6.5,-6.8,-6.8,-6.7,-6.1,-6.4,-7.4,-7.7,-6.8,-7.9,-6.3,-5.8,-6.6,-6.4,-6.8,-7.5,-6.7,-6.5,-5.8,-6.6,-5.8,-7.2
CC1CC(C)CN(C(=O)c2cc3c(s2)CCC3)C1,-5.7,-8.2,-7.1,-5.6,-7.1,-6.8,-6.1,-5.8,-5.7,-6.7,-7.5,-6.4,-4.7,-7.9,-6.2,-9.0,-6.5,-5.3,-6.1,-6.3,-6.1,-6.1,-6.3,-5.2,-5.4,-6.7,-7.3,-6.1,-6.6,-7.8,-5.3,-5.8,-5.7,-6.4,-6.3,-6.1,-6.1,-5.5,-6.2,-6.8,-7.2
O=C(Nc1nc2ncn(CCI)c2c(=O)[nH]1)c1ccccc1,-6.5,-7.8,-6.7,-5.9,-7.6,-6.4,-6.8,-6.5,-5.7,-7.2,-8.3,-6.3,-5.2,-8.0,-6.2,-7.7,-7.1,-6.1,-6.4,-6.9,-7.3,-6.7,-6.4,-5.9,-6.2,-6.7,-7.7,-6.4,-7.1,-7.4,-5.8,-6.4,-7.1,-5.7,-6.7,-6.6,-6.7,-6.2,-7.9,-6.9,-6.2
CCc1c(C(=O)N2CCN(c3cnccn3)CC2)cnn1C(C)(C)C,-5.7,-7.8,-6.4,-5.7,-7.0,-6.2,-5.7,-6.1,-6.1,-7.3,-7.3,-6.8,-4.6,-6.9,-5.6,-7.7,-6.0,-5.8,-5.8,-6.3,-6.6,-5.8,-6.5,-5.7,-5.8,-6.4,-7.4,-6.7,-6.7,-7.2,-5.4,-5.6,-5.8,-7.0,-6.2,-5.9,-6.4,-5.4,-5.7,-6.3,-8.2
COCC(=O)N(C)C1CCN(c2nc(C)c3cc(NC(=O)C=Cc4ccc(OC(F)(F)F)cc4)ccc3n2)CC1,-7.4,-6.9,-6.3,-6.9,-7.9,-5.9,-7.1,-7.1,-6.1,-8.5,-10.0,-6.3,-5.7,-8.3,-6.8,-7.8,-8.1,-5.9,-7.7,-7.0,-7.5,-7.4,-7.4,-7.0,-7.4,-7.7,-9.9,-7.6,-7.2,-6.1,-7.0,-7.2,-6.3,-6.8,-7.2,-8.1,-7.6,-5.9,-7.7,-6.3,-7.7
Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)n2c(C)n1,-7.0,-7.7,-6.7,-6.6,-8.1,-7.1,-7.0,-6.7,-6.4,-7.9,-8.8,-7.2,-5.4,-8.7,-7.8,-7.3,-7.7,-6.4,-6.8,-7.3,-8.0,-7.2,-7.6,-6.7,-6.8,-7.6,-8.4,-7.7,-7.7,-7.0,-6.3,-6.8,-7.0,-5.7,-7.3,-7.2,-7.5,-6.7,-7.5,-6.7,-8.2
CN1CCN(CCCOc2ccc(-c3nc4cc(C(C)(C)C)ccc4[nH]3)cc2Cl)CC1,-7.3,-7.5,-6.9,-6.8,-8.3,-6.7,-6.6,-7.1,-6.5,-8.5,-9.1,-6.8,-6.0,-8.6,-6.7,-7.5,-7.3,-6.3,-6.7,-7.9,-7.4,-7.0,-6.4,-6.4,-6.5,-7.4,-8.6,-7.3,-7.7,-6.8,-6.7,-7.1,-6.9,-6.8,-7.0,-7.4,-7.3,-6.1,-7.6,-6.7,-7.5
COc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,-6.5,-7.0,-6.0,-6.3,-7.6,-5.7,-6.7,-5.9,-6.4,-6.6,-8.1,-5.7,-4.9,-7.7,-6.0,-7.3,-6.3,-5.7,-6.5,-6.4,-6.6,-6.3,-6.9,-5.2,-5.8,-7.2,-7.6,-7.0,-7.4,-6.4,-5.6,-5.9,-5.9,-6.4,-6.6,-6.5,-6.4,-5.5,-6.4,-6.2,-8.7
Cc1nn(C)c2[nH]c(=O)c(CNCc3cccc(C(F)(F)F)c3)cc12,-7.2,-6.7,-7.1,-6.5,-8.5,-6.0,-7.2,-7.1,-7.9,-7.7,-9.2,-7.1,-6.1,-8.6,-7.6,-7.1,-7.6,-6.8,-7.4,-7.9,-7.5,-7.3,-6.9,-5.9,-6.6,-7.7,-9.0,-7.1,-8.1,-7.3,-6.4,-7.0,-7.2,-5.6,-7.7,-7.1,-6.9,-6.2,-7.8,-6.2,-8.2
Cc1ccc(C)n2nc(CCc3nc(-c4cccnc4)cn3C)nc12,-7.0,-7.7,-6.5,-6.8,-8.2,-6.4,-6.6,-6.5,-7.3,-7.7,-9.0,-5.7,-5.5,-8.4,-7.2,-7.0,-7.4,-6.7,-7.1,-7.6,-7.3,-7.0,-7.3,-5.9,-6.4,-7.6,-8.2,-7.4,-7.5,-6.9,-6.2,-6.7,-6.6,-6.0,-7.1,-7.9,-7.1,-6.3,-8.4,-6.2,-7.4
C#Cc1cnccc1-c1csc(Nc2cccc(C)c2)n1,-6.8,-7.3,-5.3,-5.9,-7.8,-5.7,-6.3,-5.6,-6.3,-6.8,-8.4,-6.9,-4.7,-8.1,-6.6,-7.7,-6.6,-5.8,-6.5,-7.3,-6.6,-6.5,-7.5,-5.9,-6.1,-7.1,-7.7,-6.6,-6.7,-6.4,-5.6,-6.2,-6.0,-6.1,-6.6,-6.5,-6.6,-5.6,-6.5,-5.7,-7.5
Cc1ccccc1S(=O)(=O)NC(=O)NCCCC(=O)NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O,-7.1,-7.4,-6.4,-5.7,-7.2,-6.0,-7.4,-7.0,-7.0,-7.1,-7.9,-7.4,-5.5,-6.9,-6.9,-9.7,-7.1,-6.9,-6.3,-7.4,-7.0,-7.1,-6.5,-6.1,-5.7,-6.5,-7.4,-7.3,-7.6,-6.3,-5.9,-6.2,-6.2,-7.9,-6.8,-7.0,-6.4,-6.1,-7.7,-5.8,-7.3
COC1=C2C3NCCC2(CC(O)C1O)c1c(ccc(OC)c1O)C3OC1OC(CO)C(O)C(O)C1O,-6.6,-7.6,-6.7,-6.1,-7.7,-5.9,-6.8,-7.0,-5.5,-7.3,-7.5,-6.1,-6.5,-8.1,-6.6,-9.9,-6.4,-6.3,-6.0,-6.8,-7.3,-6.9,-7.7,-7.3,-6.4,-7.3,-7.8,-7.2,-6.7,-6.7,-6.3,-6.4,-5.8,-7.6,-7.6,-7.5,-7.3,-6.7,-6.9,-6.1,-6.7
